story_id,objective
"40,824",To educate a poor girl
"40,769",To improve education in the community by addressing the electricity problem at home.
"40,771",To ensure no girl child remains out of school by regularly contacting the village community and the school
"4,821",To educate girls in the community by re-enrolling them in school and raising awareness about the importance of education
"16,592",
"40,772",To provide a library for children to read and learn
"40,829",To enroll Khushi Kumari in school
"16,593",
"16,594",
"16,465",
"40,777",To help Puja Kumari get enrolled in school by correcting her Aadhaar card
"40,830",To provide Aadhaar cards for children to enroll in school
"40,831",To educate Anjani Kumari and other girls in the village
"40,832",To educate girls and empower them to become independent individuals
"40,834",To improve parent-teacher meetings in Hirapur Chak Middle School by increasing parent participation and engagement.
"16,596",
"40,783","To correct errors in Aadhaar cards and enroll children in school, ensuring they receive necessary facilities and benefits"
"40,784",To improve classroom participation and develop essential 21st-century skills among students through the use of a structured task-based teaching strategy in science classrooms
"40,785",To improve school attendance by addressing transport difficulties for students living far from school
"40,836",To address the issue of poor attendance by implementing a community-based tracking and motivation system
"40,837",To encourage Geetanjali to continue her studies
"40,786","To increase school enrolment by assisting parents in obtaining Aadhaar cards for their children, thus addressing the issue of incomplete documents"
"40,787",To enroll children in school by correcting their Aadhar cards
"40,839",To encourage Shivani Kumari to continue her education and inspire other girls in the community to do the same
"16,443",To improve education in Kaareadlu Ponnampete Kodagu by making parents aware of its importance
"16,597",
"40,840",To educate and empower girls in the community
"16,598",
"40,793",To provide education to children in the village and empower the community
"16,600",
"40,795",To improve education by increasing awareness among parents of children
"4,083",To increase awareness about the importance of education among the community
"40,844",To connect the girl with education
"40,845",To empower girls through education and prevent child labor
"40,798",To empower girls through education and encourage them to pursue higher studies
"40,799",To empower girls through education and reduce child marriage
"40,846",To improve education in Sitamarhi by enrolling children in school and providing information about the importance of education
"40,800",To ensure girls receive a full education and become self-sufficient
"40,847",To improve education in Bihar by increasing enrollment and reducing dropout rates
"40,848",To improve education in Sitamarhi by organizing a Shiksha Chaupal and enrolling children in school
"40,850",To enroll Dilkhus in school by making Aadhaar and overcoming the lack of base
"40,849",To connect children from deprived communities with mainstream education and raise awareness about its importance
"40,851",To solve the problem of children not attending school by raising awareness among parents about the importance of education
"40,852",To empower girls through education by addressing the issue of girls being prohibited from going to school due to distance and safety concerns
"40,853",To increase parental involvement in children's education
"6,400",To improve education in Graam Champi by addressing unemployment and lack of awareness
"40,854",To empower girls through education and provide them with opportunities for higher education
"40,855",To raise awareness among parents about the importance of education for their children
"40,856",To educate Nisha Kumari who had dropped out of school due to economic situation
"40,857",To increase the enrollment of children in school
"40,858",To enroll children in school who were not previously enrolled due to lack of information
"40,859",To enroll Amit Kumar in school and encourage him to study
"40,860",To enroll Suman Kumari in school by creating awareness and obtaining necessary documents
"4,216",To increase awareness about the importance of education among children and parents in Matlupur Panchayat
"16,472",
"40,861","To empower the community by providing access to education, especially for young girls, and to create a supportive environment that fosters learning and growth."
"40,862",To improve education in the community by increasing awareness and support for education among parents and children
"40,863",To address the lack of education and information about benefits of various schemes in the community by organizing regular meetings and providing support to children and their families.
"8,827",To ensure all girls in the community have access to education and reduce the burden of household chores
"40,864",To address the issue of schools demanding unnecessary fees for transfer certificates and ensure that students can obtain these documents without paying bribes
"40,865",To prevent child marriage and promote education among teenage girls
"12,046",To create a designated reading space for children in every home in the town
"40,866",To increase parental awareness and involvement in their children
"40,867",To educate parents about the importance of attending parent meetings and to increase their participation
"40,868",To address the issue of poor school attendance due to distance and parental absence
"40,870",To resolve the issue of children not having Aadhaar cards and facilitate their admission to government schools
"40,869",To enroll children in school and emphasize the importance of education
"40,871",To promote education and empowerment of women in the community
"40,872",To facilitate the enrollment of children in school by obtaining Aadhaar cards for those without them
"40,873",To enroll Anjali Kumari in school
"40,874",To correct the date of birth in the Aadhaar card and enroll children in government schools
"40,875",To enroll Chintu Kumar in school
"40,876",To make parents aware about the education of their children
"40,877",To get an Aadhar card made and enroll in school
"28,619",To improve education in rural Bihar by raising awareness about its importance and encouraging children to study further
"40,878",To improve parental awareness of education and its importance
"40,879",To help Priyanka understand the importance of education and pursue her studies
"40,881",To help Priyanka Kumari continue her education
"40,883",To improve education by enrolling students with Aadhaar cards
"40,884","To improve the education of girls in Rohtas, Bihar, by increasing awareness among parents and encouraging them to send their daughters to school."
"40,885",To educate parents about the importance of education and prevent child marriage
"13,206",To create a separate space for children to study at home by raising awareness among parents
"40,886",To help Sangeeta Kumari return to her studies after a 3-year gap due to ill health
"40,887",To enroll 22 children in school who did not have Aadhaar cards and were not enrolled in school due to various reasons
"40,888",To get Sandhya Kumari enrolled in school by helping her parents make her Aadhar card
"40,893",To address the issue of low patron participation in the school
"40,894",To help a teenager attend school despite financial difficulties
"40,896",To improve girl education
"40,897",To promote girl education in Graam Mirjapur by addressing the issue of girls not being sent to school after the fifth grade
"40,898",To increase girls education beyond eighth grade
"40,899","To establish regular parent-teacher meetings in Jamuhar Mohanpur, ensuring active participation and open communication between parents, teachers, and the community."
"5,136",To enhance education at Anganwadi by teaching children through activities
"40,900",To create awareness among parents about the importance of education and encourage them to send their children to school
"29,298",To empower girls through education and help them become self-reliant
"40,902",To enroll Diltorni Kumari in school
"40,903",To help Lali Kumari continue her education after her mother's death.
"40,906",To educate women and teenagers about the importance of education in overcoming unemployment
"28,571",To empower women through education and help them overcome societal barriers
"40,907",To educate Komal Kumari about the importance of education
"40,908",To ensure children from poor families do not drop out of school
"28,620",To convince Khushboo Kumari to continue her education
"18,968",To make parents aware of the importance of education and encourage them to take advantage of government facilities to secure a better future for their children
"40,914",To empower girls through education and raise awareness about its importance
"40,915",To enroll 15 children of Nat Tola who had left their studies midway back into school
"40,916",To provide education to underprivileged children despite financial constraints
"40,917",To empower girls through education and provide them with opportunities for a better future
"40,918",To increase enrollment and awareness about education in the Majhi family
"40,919",To help Radha Kumari pass her supplementary exam
"40,920",To educate Ramavati Kumari
"40,921",To empower girls through education and prevent child marriage
"16,541",To create a reading corner in a small corner of the house for children and to make it in all children
"40,923",To get Kajal Kumari enrolled in school and continue her education
"40,924",To enroll children in school by raising awareness about the importance of education among parents
"40,925",To educate Anushka and other children in Naraina village
"40,926",To encourage Kajal Kumari to continue her education
"40,928",To raise awareness about education among parents in Rojai village and motivate them to enroll their children in school
"4,142",To address the issue of girls not attending school and child marriage in the community
"40,929",To empower girls through education and help them achieve their goals
"29,374",To improve education in Bartali Kala village by increasing awareness and facilitating access to government facilities
"16,618",
"40,930",To empower rural communities through education and raise awareness about its importance
"40,931",To motivate Riya Kumari to study further and help her pass her matriculation examination
"40,932","To help Ranjani Kumari get her Aadhaar card made, which is essential for availing benefits and proving her identity"
"40,933",To empower Kajal Kumari to continue her education despite poverty and failure in matriculation
"40,934",To provide girls with access to education and empower them to take control of their lives
"16,619",
"40,935",To convince Khushboo Kumari and her mother to get her admitted and complete her further studies
"40,936",To improve education by involving parents in the learning process
"28,466",To address the issue of poor families leaving further studies to help with household chores due to the distance of schools
"40,937",To create awareness among villagers about the benefits of government schools and encourage them to enroll their children.
"28,572",To educate the girl about the importance of education despite her family's poverty
"16,622",
"16,624",To spread awareness about the importance of education and encourage parents to send their children to school
"40,943",To improve education in rural Bihar by raising awareness about its importance among parents and children
"13,209",To create a dedicated space for children to study at home by informing parents and making space available
"40,945",To educate the children of the village and make them aware of the importance of education
"4,129",To empower women through education and provide a platform for them to share their problems and find solutions
"16,630",To educate schoolchildren about the importance of health and nutrition
"40,951","To ensure every child has access to education, regardless of their background or caste"
"40,953",To educate people and spread awareness about the importance of knowledge
"16,631",To educate school children about health and its importance
"4,189",To change the mindset of parents towards government schools
"40,954",To educate students and community members about the dangers of drug addiction and prevent its spread
"40,956","To educate people about transgender equality, health, and hygiene through various activities like skits, mime, and cleaning activities."
"16,635",
"40,958","To educate people about the importance of health, hygiene, and education through interactive activities like skits, mime, and cleaning activities."
"4,171",To educate girls and prevent child marriage in Bihar
"40,962",To improve the educational system in government schools by breaking the myth that there is no education in these schools and strengthening the system
"40,964",To improve education for all by increasing enrolment and addressing the challenges faced by schools and communities
"40,966",To enroll Farida Khatoon in school despite initial resistance from the school administration
"4,122",To improve girls education in the village
"40,967",To enroll children in school and make parents aware of the importance of education
"40,968",To help children get enrolled in school by making their Aadhar cards
"40,974",To ensure every student has an Aadhaar card for educational benefits
"40,980",
"40,981",
"40,986",To help Suman Kumari get her Aadhar card made and enroll her in school
"16,661",
"40,989",To improve education in Aurwa Tilha Dharampur Kishunpur by increasing enrollment and attendance
"40,990",To empower girls through education and make them self-sufficient
"40,991",To increase the number of children from the Mahadalit community attending school in Patal Bigha village
"40,992","To enroll children in school by obtaining Aadhar cards for them, addressing the issue of parents being less educated and busy with labor work"
"40,993",To spread awareness about education and its importance among parents in Darihat village
"40,994",To improve education in Musahari Tola by helping children get enrolled in school and understanding the importance of education
"28,671",To increase awareness about education in Golo and encourage parents to educate their children further
"40,995",To help Shivani Kumari get enrolled in school by obtaining her birth certificate and Aadhaar card
"40,996",To ensure all children have Aadhar cards for school enrollment
"40,997",To enroll four children in Primary School Pandey Prasav by making their Aadhar cards
"40,998",To enroll girls in school and provide them with access to education
"25,921",
"40,999",To help a girl who had left her studies for 2 years to continue her education and take her 10th standard exam again
"41,000",To help Khushbu Kumari get her Aadhar card corrected
"41,001",To improve access to education for girls by addressing the issue of birth certificates
"41,002",To educate the people of the Mahadalit community about the importance of education
"41,004",To enroll Sonali Kumari in school by obtaining her birth certificate and Aadhar card
"41,006","To increase awareness and importance of education among the Musahar community, especially for girls, and to encourage them to enroll in school."
"41,007",To improve education in Sitamarhi by enrolling students in school
"41,008",To help the community understand the importance of education and encourage girls to continue their studies
"41,009",To educate Durga Kumari and her parents about the importance of education
"41,010",To improve education in the community
"41,011",To solve the problem of delay in enrollment due to lack of Aadhar card
"41,012",To provide education to all children in Jaynagar Musahar Tola
"41,013",To understand the importance of education and make it a priority in our daily lives
"41,014",To improve education in Keshpiprakhand by motivating children to attend school and explaining the importance of education to parents
"28,573",To educate Mamta Kumari despite her father
"41,015",To empower girls through education and provide them with opportunities for a better future
"15,037",To empower girls through education and help them become independent and confident individuals
"28,692",To improve the education of foster children by creating a conducive reading environment
"41,016",To improve school attendance by encouraging parents to send their children to school every day
"41,017",To ensure Nasir's school enrollment by correcting his Aadhaar card
"41,018",To improve education in Sitamarhi by enrolling Srishti Rani in school
"17,358",
"41,019",To make Rohit Raj understand the importance of education and continue his studies
"41,022",To improve education by enrolling children in school through Aadhaar card registration
"41,023",To motivate Ritesh to continue his studies and understand the importance of education
"41,024","To facilitate the creation of Aadhaar cards for children in Majhauliya Panchayat, ensuring they receive benefits and access to education"
"41,026",To ensure all children in Dubaha village have Aadhaar cards to access education and government benefits
"41,029",To educate parents about the importance of education and encourage them to enroll their children in school
"28,574","To facilitate the registration of Aadhaar cards for children in the community, addressing the issue of many children lacking this essential document"
"41,030",To increase awareness among parents about the importance of education and encourage them to enroll their children in school
"15,054",To educate girls and make them aware of the importance of education despite poverty
"10,897",To improve education in rural areas by encouraging parents to send their children to school and providing support to students
"4,373",To increase school enrollment in Tumkere Village by addressing the reasons for low enrollment
"41,032",To increase awareness among parents about the importance of education and encourage them to enroll their children in school
"15,055",To improve school attendance by motivating children and parents
"15,099","To provide a dedicated and quiet space for students to study and read, improving their concentration and academic performance"
"28,621",To improve literacy and numeracy among students at GHPS Purnapur by engaging parents and using activity-based learning methods
"41,033","To help Rani get her Aadhar card and enroll in school, ensuring she has access to education and a better future"
"28,575",To educate parents about the importance of education and encourage them to support their children
"41,034",To create awareness about the importance of education in the Musahar Tola community and encourage children to attend school regularly
"41,035","To educate and empower girls in the community, ensuring they have access to quality education and a better future"
"41,036",To improve education by facilitating Aadhar card enrollment for students
"16,284",To educate Anita Kumari and improve her life
"41,037",To enroll a girl in school who was not attending due to parental negligence
"41,038",To solve the problem of parents not sending their children to school due to household work
"41,039",To improve education for underprivileged children by providing them with access to quality education and resources.
"41,040",To create awareness about the importance of Aadhar Card and Birth Certificate in the community
"41,041",To ensure Sambhavika Kumari attends school despite her family's poor financial condition
"41,042",To ensure girls from underprivileged backgrounds receive education and support to break the cycle of poverty
"25,776",
"41,043",To educate girls about the importance of education and the negative impacts of child marriage
"41,044",To increase awareness about higher education in the community and encourage girls to pursue it
"16,352",To create a proper reading corner at home to support children
"41,045",To educate Munna
"24,486",
"41,046",To improve education in Darihat village by increasing awareness among parents and children about the importance of education
"41,047",To improve education in Fakhrawad village by increasing awareness among parents and community members about the importance of education
"28,648",To get the school rooms painted by involving the children in the decision-making process and finding alternative solutions when the SDMC didn't take responsibility
"15,081","To provide students with a dedicated and quiet space to study and read, addressing the issue of limited space and noisy surroundings at home."
"28,576",To increase school enrollment in the village
"41,053",To help a child get an Aadhar card and enroll in school
"16,397",To educate women and promote their development in the community
"28,622",To improve girls education by convincing guardians to send them to school
"7,214",To educate women and girls in rural areas and empower them to make informed decisions about their lives
"41,057","To improve education by facilitating the creation of birth certificates and Aadhaar cards for underprivileged children, enabling their enrollment in schools."
"15,087",To help Nikki Kumari understand the importance of education and attend school regularly
"41,058",To encourage and support Soni Kumari in pursuing her education despite financial constraints and lack of motivation
"16,548",To empower girls through education by ensuring their safety on the way to school
"41,059",To help Chandni Kumari continue her education despite financial constraints
"41,060",The objective was to empower girls through education and address the issue of girls dropping out of school due to poverty.
"41,065",To improve education in Beni Nagar village by spreading awareness and encouraging children to attend school
"41,066",To empower girls through education and raise awareness about its importance in the community
"41,067",To enroll Supriya Kumari in school by correcting errors in her Aadhaar card
"41,071",To educate girls and empower them to take control of their lives
"41,072",To empower girls through education and encourage them to pursue their studies beyond the 8th grade
"41,073","To improve school attendance among teenage girls in Andapur, Bihar by addressing the challenges they face"
"41,075",To ensure children receive government scheme benefits by correcting errors in their Aadhaar cards
"41,076","To help Suman, a girl who was out of school for two years, get enrolled in a school in Sitamarhi by facilitating a flexible admission process"
"41,077",To enroll Vishal Kumar in school despite the lack of a transfer certificate
"41,078",To improve education in the community
"41,079",To improve access to education for girls in rural Bihar by addressing the issue of molestation due to long distances to school
"41,080",To improve education and awareness among women and children in the community
"41,083",To improve education by increasing parental involvement and understanding of its importance
"41,084",To help a teenage girl continue her education despite financial difficulties
"41,085",To solve the problem of admission in class 9 due to TC
"29,252","To provide separate and well-maintained toilets in schools and colleges, ensuring a healthy and dignified environment for students."
"41,086",To solve the problem of Aadhar card enrollment for school students
"28,693",To improve children
"41,087",To enroll in school by obtaining an Aadhar card through block and district level efforts
"41,088",Anjani wanted to go to school but the school was far away
"41,089",To increase awareness about the importance of education among girls in the Mahadalit community and encourage them to pursue higher education
"41,090",To provide a better learning environment for children by improving library facilities
"41,091",To enroll children in school and promote education in the village
"41,092",To solve the problem of admission being denied in 6 colleges due to lack of Aadhaar card
"41,093",To improve school sanitation by providing a dustbin for children to throw garbage
"41,094","To improve education in Sirsa by taking support from the youth, teachers, and the headmaster"
"41,096",To improve the road conditions for students to travel to school safely and easily
"28,471",To enroll Soni Kumari in school despite the loss of her Aadhar card
"41,097",To help parents understand the importance of education and get their children admitted to school
"41,099",To empower girls to speak openly and share their problems with each other through Meena Manch meetings
"41,100",To improve education in Barkurwa village by enrolling children in school and raising awareness about the importance of education
"41,101","To address the issue of girls dropping out of school due to lack of information and understanding among parents, and to promote self-reliance through education"
"19,754",
"41,102",To increase awareness about the importance of education among parents and children in Ankanathapur
"23,311",
"41,103",To empower teenage girls by providing them with a platform to express themselves freely and participate in games and activities.
"41,104",To motivate a girl who dropped out of school due to low marks in the matriculation examination to continue her studies and prepare for Intermediate
"28,649",To encourage girls to study and emphasize the importance of education
"41,106",To empower children through education by raising awareness about the importance of education and the benefits of government schemes available in schools
"41,107",To improve school attendance among children in Devariya Panchayat by forming an education committee and motivating parents and children to prioritize education
"15,151",
"41,109",To provide a safe environment for children to learn and grow by setting up an Anganwadi center
"41,110",To improve education in Kariyadpur by increasing awareness among parents about its importance
"41,111",To enroll Riya Kumari in school by obtaining her birth certificate
"41,112",To re-enroll dropout girls in Kasturba Vidyalaya and provide them with education
"41,113",To improve girls' education by engaging parents and community members
"28,687",To improve education by convincing patrons of its importance and setting up a reading corner
"41,114",To address the issue of depriving girls of education by engaging them in household chores
"41,115",To educate disadvantaged children and empower them through education
"41,116",To improve education for underprivileged girls by increasing awareness about government schemes and encouraging parents to send their children to school
"41,117",To improve education in Kariyadpur by increasing awareness among parents about the importance of education
"41,118",To educate village children and bring them to school
"41,119",To improve children's education
"41,120",To enroll boys above 6 years old in school
"41,121",To get Aryan Kumar admitted to school
"41,122",To get Aryan Kumar admitted to school
"41,123",To enroll Akriti Kumari in school and ensure she receives an education despite her family's financial struggles
"41,124",To educate girls and make them aware of the importance of education
"41,125","To improve education by obtaining birth certificates and Aadhar cards for children, enabling them to enroll in higher secondary school"
"28,623",To empower girls through education and reduce dropout rates
"29,378",To correct Archana Kumaris date of birth on her Aadhar card so she can receive government benefits
"41,127",To create awareness about the benefits of using menstrual cups among rural women and adolescent girls
"41,128",To promote unity and inclusivity among children of different religions during the entrance festival
"41,129","To improve education by ensuring children have birth certificates and Aadhar cards, enabling them to enroll in school"
"41,130",To raise awareness about the importance of education among parents in Kariyadpur village and encourage them to enroll their children in school
"41,131",To address the issue of depriving girls of education in the community
"41,133",To improve education in Bihar by helping a girl get admission in class 9 despite a wrong date of birth in her Aadhar card
"41,134",To improve education in rural Bihar by increasing awareness and enrollment among children and adults
"41,139",To enroll unenrolled children in school and ensure they receive an education
"41,140",To make children and parents aware about education
"41,141",To improve education in rural Bihar by setting up Shiksha Chaupals and providing remedial classes to children
"41,142","The objective of this micro-improvement is to increase awareness and access to education among women and children in the community, and to empower them to take charge of their own education."
"41,143",To improve education for underprivileged children by convincing their parents and helping them get admitted to school
"41,144",To spread awareness among children and encourage them to attend school
"41,145",To increase enrollment and attendance of children in school by raising awareness about the importance of education among parents and children.
"41,147","To empower girls in Bihar through Meena Manch, a platform that provides a safe space for them to express themselves and raise their voices for their rights"
"41,149",To empower girls through education and improve their socio-economic status
"24,118",
"41,151",To improve education in Keshapi by enrolling children in school and encouraging parents to send them to school every day
"41,152",To improve school attendance by providing bicycles for children to commute
"41,154",To enroll girls in school and improve their education
"41,155",To improve education in Bawrai village by increasing awareness among children and encouraging parents to support their children
"41,156",To create awareness about the importance of education among parents and teenage girls in rural areas
"41,157",To educate Reema and her family about the importance of education
"41,158",To encourage Sapna to attend school regularly
"41,159",To ensure Sapna Kumari attends school by explaining the importance of education to her parents
"28,577",To encourage Pooja Kumari to continue her studies after she had dropped out due to poor financial condition and academic performance
"5,335",To improve education in Sawari Gaanv
"41,160",To create awareness about rural games among children
"41,161",To help children without birth certificates or Aadhaar cards enroll in school by assisting them in obtaining these essential documents
"41,163",To educate the community about the importance of education and encourage them to educate their children
"41,164",To create awareness about cleanliness among children and educate them on its importance for their health and well-being
"41,166",To improve children's travel
"14,932",
"41,170",To improve education by fixing roads
"41,172",To provide a proper building for children to improve their education
"41,173",To improve attendance by addressing transport barriers through community partnerships
"5,883","To promote education and sports in the school, ensuring that students do not abandon their studies for sports"
"21,063",To improve learning abilities of children with learning disabilities through FLN activities
"41,174",To create Aadhaar cards for children in Mohaniya village to enable their enrollment in school
"41,176",To empower girls through education and prevent child marriage
"41,179",To increase awareness among parents about the importance of birth certificates for their children
"41,180","To improve access to government schemes for children in Kaimur, Bihar, by obtaining Aadhaar cards and birth certificates"
"29,253",To construct and maintain separate toilets in schools and colleges
"41,184",To empower girls through education and prevent child marriage
"41,185","To improve education for girls in Diha, Bihar by raising awareness about the importance of education and providing support for enrollment and attendance."
"41,186",To get Soni Kumari enrolled in school by obtaining her Aadhar card
"41,187",To improve education in rural Bihar by addressing the issue of non-enrolment due to lack of Aadhaar cards
"41,188",To help Priyanka continue her studies by finding a solution to the problem of the school being far away
"41,189","To improve education in government schools by providing free education, hot meals, and English medium system, and to improve drinking water and toilet facilities."
"41,190",To promote girl education and empower them to make informed decisions about their lives
"5,905",To address the issue of child marriage and encourage girls to stay in school
"41,191",To solve the problem of girls dropping out of school in Mahadalit communities
"14,936",To improve the lighting in schools and create a better learning environment
"41,193",To promote girl education in the village
"41,195",To promote girl education and empower girls in the community
"28,578",To continue Renu's education
"41,198","To ensure that all children, including those who fail in Class 10, are allowed to continue their education."
"15,289",
"41,199",To increase children's interest in education by providing them with lectures at home and involving young people with degrees in the process
"15,291",
"15,292",
"15,294",
"41,202",To make the community aware of the importance of education and to encourage children to attend school regularly
"28,672","To encourage and support students to continue their education beyond 8th class, addressing the issue of limited educational opportunities due to poverty"
"15,295",
"41,203",To increase school enrollment and attendance in Majhauliya village by raising awareness among parents and community members about the importance of education.
"41,204",To enroll children in school and improve attendance
"41,205",To increase awareness about the importance of education among parents in Sakra village and encourage them to enroll their children in school
"5,509",To increase interest in cultural programs among students
"41,206",To increase school enrollment and attendance by raising awareness among parents about the importance of education
"41,207",To encourage Samanti to continue her education
"29,254",To improve educational facilities by constructing and maintaining separate toilets in schools and colleges
"41,208",To motivate Phool Kumari Devi and her daughter-in-law Karishma Kumari to understand the importance of education
"41,209",To help Asha Kumari get back to school after she dropped out due to financial constraints
"28,694",To improve children's writing skills by organizing an essay competition and providing awareness and information about writing skills
"41,210",To improve Sunita's education
"41,211","To ensure children in Deoria village have Aadhaar cards, enabling them to enroll in school"
"41,212",To improve education in Bartali by raising awareness about its importance
"41,213",To improve education in Bhabhasi village by spreading awareness about its importance and enrolling girls in school
"28,579",To educate Renu till Intermediate
"41,215",To engage children in a productive activity during summer holidays
"41,216",To help children in the village of Dehliya get admission in school by obtaining Aadhaar cards
"41,217",To help Sunita get admitted to school by obtaining her birth certificate
"24,103",
"41,218",To help children enroll in school by correcting their Aadhar cards
"41,219","To prevent child marriage and encourage girls to continue their studies, thereby empowering them to make informed decisions about their lives."
"41,220",To help a girl get admitted to school by assisting with her Aadhar card issue
"4,190",To change the mindset of parents towards government schools by showcasing their potential and successes
"15,326","To educate the community on the importance of water conservation and proper hygiene practices, and to reduce water waste"
"41,221",To enroll Ayush Kumar in school by getting his Aadhar card made
"41,222",To help Munni Kumari get admitted to school by correcting her Aadhar card
"41,223",To educate Anjali Kumari about the importance of education
"41,224",To make Nirmala understand the importance of education
"41,226",To enroll Srishti Rani in school by obtaining her Aadhaar card
"15,932",
"4,156",To educate girls who had dropped out of school due to various reasons
"41,231",To organize a camp for Aadhar card creation and facilitate school admissions for underprivileged children
"41,236",To create Aadhar cards for children to enroll them in school and increase the number of children attending school
"28,580",To bring Chanchal back to school and continue her studies
"14,937",To address the lack of toilets in the community by empowering women to take action and work with local government
"41,239",To enroll Satvik Kumari in school by creating awareness about Aadhaar and its importance
"5,558",To increase awareness about the importance of education in rural areas and encourage guardians to send their children to school
"41,240","To solve the problem of children not having Aadhaar cards, which was hindering their school enrollment"
"41,241",To improve access to education for girls in Sitamarhi by addressing the problem of lack of access to education
"41,242",To increase awareness about the importance of education and encourage parents to enroll their children in school
"28,650","To empower children by encouraging their participation in discussions and decision-making processes, thereby enhancing their educational experience."
"41,243",To help students enroll in school despite errors in their date of birth on Aadhar cards
"41,244",To help Mansi Kumari get enrolled in a school despite not having the required proof of residence
"41,245",To improve children's education by designing a new model of libraries in schools
"41,247",To improve the education of children in the village by addressing the transportation needs
"41,249",To create awareness about the importance of girls' education
"41,250",To improve the education of children by establishing a transportation system
"41,252",To raise awareness about the importance of education among parents and children in Nerale Hoddy Graama
"15,378","To improve the cleanliness and aesthetic appeal of the school, thereby increasing student enrollment and attendance, and inspiring alumni to contribute to the school's development"
"5,574",To promote cultural awareness and education among children through organized programs
"41,254","To empower education through community support and ensure that every child has access to quality education, regardless of their background or circumstances."
"41,256",To educate girls in the community
"41,259",To empower girls through education and make them independent
"41,260",To get Preeti Kumari to pursue further studies
"28,624",To improve education in rural Bihar by raising awareness about its importance
"41,261",To empower girls through education by enrolling them in schools
"28,581",To promote education among girls in Govindpur village and encourage them to continue their studies beyond primary level
"28,439",To help children focus on reading by creating a distraction-free environment
"28,673",To encourage girls to pursue further education and overcome poverty
"4,035",To empower a minor girl to complete her education by raising awareness about the importance of education and the legal implications of marrying a minor
"19,533",
"41,263",To provide access to clean drinking water for students in schools
"4,026",To improve education by making parents aware of its importance and the benefits of government schemes
"41,264",To educate children in rural areas and empower them to improve their lives
"28,651",To encourage parents to take responsibility for their children
"5,578",To provide refreshment to Anganwadi children through games
"28,189",
"41,265",To enroll Sonali Kumari in school by correcting her Aadhaar
"28,582",To improve education in the village by encouraging children to attend school
"28,695",To increase children
"28,583",Preeti Kumari
"41,266",To improve education and delay marriages in rural Bihar by organizing education chaupals and encouraging parents to educate their children
"16,483",To empower girls through education and help them shape their future
"41,267",To empower girls through education and prevent child marriage
"13,982",To provide necessary educational materials to underprivileged children
"29,300",To educate and empower girls from disadvantaged backgrounds
"41,268",To empower girls through education and reduce child marriage
"41,269",To improve education in rural areas by increasing interest and enrollment in schools
"3,968",To empower girls through education and make them aware of its importance
"41,270",To educate Kajal
"41,271",To empower education in Rohtas by promoting government schools and increasing awareness about their benefits
"41,272",To empower education in the community by addressing the problem of poverty and lack of motivation
"40,512",To promote girl education and empower women through education
"41,273",To enroll Kanchan in class 6th and encourage her to continue her studies
"41,274",To enroll Anjali Kumari in school
"40,514",To improve school attendance and teacher accountability in Village Parasia
"40,515",To increase girls' participation in education and empower them to take control of their future
"41,276",To get Raveena back to school
"40,516",To improve school attendance in rural Bihar by addressing transportation challenges
"40,517",To provide educational opportunities to underprivileged girls and empower them through knowledge
"28,584",To improve education in Pataal Bigaha Tolla by increasing awareness about the importance of education and providing access to remedial schools
"40,518","To address the challenge of distance between school and village, affecting girls"
"40,519",To reduce child labour by creating awareness about the importance of education and providing free admission to children
"41,278",To address the issue of parents not being aware of the importance of birth certificates and Aadhaar cards for their children
"40,521",To help Anjali and her sisters get an education despite their poor financial condition and lack of support after their parents' death.
"41,282","To spread awareness about the importance of birth certificates and Aadhaar cards in the community, ensuring timely enrollment of children in schools"
"28,625",To create awareness about the importance of education for girls and encourage them to pursue their studies beyond 12th class
"3,764",To create awareness about women
"40,522",To educate Savita Kumari about the importance of education and encourage her to pursue her studies
"40,523","To increase school attendance and enrollment in Satiyad Village, Daranagar Panchayat, Nohta Block, Rohtas District"
"3,694",To improve English skills and overall development of underprivileged children through interactive activities
"3,689",To address the issue of not coming to school on time
"3,688",To address the issue of kids not coming to school on time
"40,524",To empower Preeti Kumari and her family by providing access to education and overcoming the barrier of lack of certificates
"40,525",To educate the community about the importance of education and encourage children to pursue further studies
"41,285",To empower girls through education and make them aware of its importance
"40,526",To empower communities through education by raising awareness and promoting determination to stop wrong practices.
"40,527",To empower girls through education by addressing the issue of unfair practices in schools
"40,528",Rima had left studies after studying till class six
"41,286",To educate Ranju Kumari and help her stand on her own feet
"40,529",To get Khushi Kumari an Aadhar card
"41,287",To educate girls and empower them to make informed decisions about their lives
"40,530",To continue Nisha Kumari's education
"41,289",To improve the quality of education in government schools by increasing awareness among parents and the community about the benefits of government schools over private schools.
"40,531",To promote girls' education and empower them through knowledge
"40,532",To improve education in Dehariya village by spreading awareness about its importance and providing government facilities
"41,291",To correct Aadhar card details for better access to government schemes and education
"40,533",To empower girls through education by resolving issues related to their educational pursuits
"41,292",To solve the problem of dropping out of school after eighth grade due to issues with Aadhar cards
"40,534",To educate girls from poor families
"40,535",To help Sonu Kumar get enrolled in a government school by obtaining his birth certificate and Aadhaar card
"41,293",To educate Kunti Kumari till 12th class
