Theme Id,Theme Name,Defination,Keywords,Status,Objective Count,Original Statements
,,,,,,29334 | To provide separate toilets for students in schools and colleges | 0.7267
,,,,,,29259 | To provide clean drinking water to students in schools and colleges | 0.6415
,,,,,,29130 | To improve school sanitation by constructing and maintaining separate toilets in schools and colleges | 0.7461
,,,,,,28946 | To improve the attendance of girls in school by providing proper sanitation facilities | 0.6404
,,,,,,29246 | To improve the overall learning experience by providing separate toilets in schools and colleges | 0.7093
,,,,,,29249 | To improve school infrastructure by constructing and maintaining separate toilets | 0.7788
,,,,,,29260 | To provide clean drinking water units in schools and colleges to improve the health and well-being of students | 0.5983
,,,,,,29262 | To provide clean drinking water units in schools and colleges | 0.5875
,,,,,,29263 | To provide clean drinking water units in schools and colleges | 0.5875
,,,,,,"29270 | To improve school cleanliness, discipline, and learning among children by engaging the community and parents | 0.6618"
,,,,,,29273 | To improve registration in a government school by addressing the reasons behind low enrollment | 0.5614
,,,,,,29284 | To provide clean drinking water units in schools and colleges to improve student health and well-being | 0.5956
,,,,,,29289 | To provide clean drinking water to students in schools and colleges | 0.6415
,,,,,,29291 | To provide clean drinking water units in schools and colleges | 0.5875
,,,,,,29293 | To provide clean drinking water units in schools and colleges to improve the health and well-being of students | 0.5983
,,,,,,29301 | To relaunch the Sanitary Napkin scheme in government and aided schools | 0.6181
,,,,,,29305 | To relaunch the Sanitary Napkin scheme in government and aided schools to promote menstrual hygiene and education | 0.6024
,,,,,,29306 | To provide sanitary napkins to girls in government and aided schools | 0.6336
,,,,,,29311 | To improve menstrual hygiene and provide access to sanitary napkins for girls in government and aided schools | 0.6035
,,,,,,29312 | To relaunch the Sanitary Napkin scheme in government and aided schools to promote health and hygiene among female students | 0.6206
,,,,,,29313 | To relaunch the Sanitary Napkin Scheme in government and aided schools | 0.6181
,,,,,,29314 | To improve girls' education by providing access to sanitary napkins in government and aided schools | 0.6589
,,,,,,29315 | To provide sanitary napkins to girls in government and aided schools | 0.6336
,,,,,,29317 | To relaunch the sanitary napkin scheme in government and aided schools | 0.6181
,,,,,,29318 | To provide sanitary napkins to girls in government and aided schools | 0.6336
,,,,,,29321 | To provide sanitary napkins to government and aided school girls | 0.6138
,,,,,,29322 | To provide clean drinking water to students in schools and colleges | 0.6415
,,,,,,29323 | To provide clean drinking water to students in schools and colleges | 0.6415
,,,,,,29326 | To provide clean drinking water for students in schools and colleges | 0.6388
,,,,,,29327 | To provide clean drinking water to students in schools and colleges | 0.6415
,,,,,,29328 | To provide clean drinking water to students in schools and colleges | 0.6415
,,,,,,29329 | To provide clean drinking water to students in schools and colleges | 0.6415
,,,,,,29331 | To provide clean drinking water to students in schools and colleges | 0.6415
,,,,,,29332 | To establish clean drinking water units in schools and colleges to provide students with access to safe and clean drinking water | 0.5947
,,,,,,29333 | To provide separate toilets in schools and colleges for better sanitation and hygiene | 0.7249
,,,,,,29335 | To relaunch the Sanitary Napkin scheme in government and aided schools to promote hygiene and education for girls | 0.6099
,,,,,,"29336 | To address the lack of separate toilets in schools and colleges, ensuring a healthier environment for students. | 0.7574"
,,,,,,29337 | To improve education infrastructure by addressing the lack of separate toilets in schools and colleges | 0.7787
,,,,,,29339 | To provide separate toilets for students in colleges | 0.651
,,,,,,29340 | To address the issue of lack of separate toilets in schools and colleges | 0.7913
,,,,,,29342 | To improve sanitation facilities in schools and colleges by constructing and maintaining separate toilets | 0.7066
,,,,,,29343 | To provide sanitary napkins to girls in government and aided schools | 0.6336
,,,,,,29344 | To improve school sanitation by constructing and maintaining separate toilets in schools and colleges | 0.7461
,,,,,,29345 | To construct and maintain separate toilets in schools and colleges | 0.7242
,,,,,,29346 | To address the issue of separate toilets in schools and colleges | 0.7579
,,,,,,29390 | To educate girls and make them independent by providing them with the necessary resources and support | 0.5719
,,,,,,29392 | To improve the education of girls in the village by addressing the economic constraints and lack of awareness | 0.7027
,,,,,,37076 | To promote education and equality among Scheduled Caste children by providing free course coaching and raising awareness about government schemes | 0.5519
,,,,,,40485 | To increase the enrollment of women in schools by addressing the issue of schools being at a distance and community resistance | 0.6244
,,,,,,40450 | To ensure girls have access to education and overcome obstacles that prevent them from attending school | 0.698
,,,,,,30595 | To improve education in Kamalpura village by addressing the lack of toilets and drinking water in the school | 0.6356
,,,,,,30007 | To solve the toilet problem in school by encouraging villagers to take action | 0.6953
,,,,,,4111 | To improve girls' education | 0.6544
,,,,,,34128 | To improve education in rural Bihar by addressing the lack of toilets and hand pumps in schools | 0.6556
,,,,,,29571 | To provide clean drinking water for school children by working with the Gram Panchayat | 0.5659
,,,,,,31175 | To improve education in Sitamarhi by addressing the challenges faced by girls | 0.5668
,,,,,,34028 | To enroll girls in 9th class despite residential issues | 0.5504
,,,,,,40401 | To increase girls' enrollment in schools and promote education in rural areas | 0.6431
,,,,,,40446 | To improve the quality of education in government schools by making people aware of the benefits of government schools over private schools | 0.6266
,,,,,,40447 | To improve the education system in government schools by raising awareness about the benefits of government schools over private schools | 0.6088
,,,,,,29899 | To improve education in Deurwa village by motivating girls to attend school and providing support to overcome poverty-related challenges | 0.6424
,,,,,,29625 | To improve the overall educational experience by addressing the issues with eating and drinking facilities in schools | 0.6012
,,,,,,30299 | To improve education for women and children by helping them obtain necessary documents and enroll in school | 0.5897
,,,,,,32301 | To convince rural people to send their children to school and improve their financial condition through education | 0.6064
,,,,,,40443 | To improve the educational outcomes of Mahadalit girls by addressing the challenges they face in accessing education | 0.6358
,,,,,,29569 | To provide drinking water facilities to children in school | 0.7348
,,,,,,40499 | To empower girls through education by providing them with access to quality education and resources | 0.6613
,,,,,,40477 | To improve girls' education | 0.6544
,,,,,,29546 | To provide proper food facilities for school students | 0.6208
,,,,,,29624 | To improve cleanliness and hygiene in schools by educating children on the importance of cleanliness and providing them with good food and drink | 0.671
,,,,,,34642 | To promote menstrual hygiene and health among students in government and aided schools by relaunching the Sanitary Napkin Scheme | 0.5937
,,,,,,30151 | To improve access to education for boys and girls in rural areas | 0.7027
,,,,,,29553 | To provide proper books to schoolchildren | 0.623
,,,,,,32813 | To provide sanitary napkins to girls in government and aided schools | 0.6336
,,,,,,"32811 | To provide sanitary napkins to female students in government and aided schools, promoting menstrual hygiene and education | 0.5999"
550e8400-e29b-41d4-a716-446655440002,Legal Document linked Barriers,"This theme includes responses where children are unable to enroll in school due to missing or incomplete legal documents such as Aadhaar cards, birth certificates, or identity proofs. It captures how lack of proper documentation creates administrative hurdles that keep children out of the education system.","No Aadhar card,no birth certificate,lack of Aadhar card,no ID,no legal document,enrollment barriers due to no Aadhar card",approved,364,28654 | To increase access to education for children in Ahiyapur village by addressing the issue of distance from school | 0.6243
,,,,,,16282 | To get Ravindra Kumar enrolled in school by obtaining his Aadhar card | 0.6535
,,,,,,28679 | To help Chandni Kumari get her Aadhar Card corrected so she can attend school | 0.6624
,,,,,,20737 | To improve education accessibility for girls by addressing transportation and Aadhaar card issues | 0.6928
,,,,,,28697 | To help Bharti Kumari attend school daily by correcting her parents' Aadhaar cards | 0.6967
,,,,,,2484 | To provide access to education for children and youth in Imdapur village | 0.5688
,,,,,,15379 | To enroll Ruby Kumari in school by obtaining her Aadhaar card | 0.6471
,,,,,,29294 | To help people get their Aadhar cards made | 0.6561
,,,,,,28680 | To help Chandni get her Aadhar card corrected so she can attend school | 0.6649
,,,,,,8627 | To educate villagers about the importance of education and help them obtain Aadhaar cards for their children | 0.7508
,,,,,,28659 | To solve the problem of absence of Aadhaar Card by creating awareness about the Darkari Yojana | 0.5857
,,,,,,"28545 | To correct the date of birth on a child's Aadhaar card, which was preventing them from receiving food and enrolling in school. | 0.7097"
,,,,,,28660 | To create awareness and facilitate the creation of Aadhar cards for children in the community | 0.787
,,,,,,"28661 | To improve access to education by creating Aadhaar cards for children, thereby simplifying the enrollment process and increasing participation in schools. | 0.7998"
,,,,,,"28550 | To address the issue of lack of birth certificates and Aadhar cards hindering school enrollment in Sirauli village, through Shiksha Chaupal and community engagement. | 0.6962"
,,,,,,28641 | To help children obtain Aadhaar cards and improve their access to education and other benefits | 0.8113
,,,,,,"28691 | To help teenage girls who have never attended school get enrolled and receive an education, by assisting them in obtaining necessary documents such as a date of birth and Aadhaar card | 0.7107"
,,,,,,28642 | To improve access to education by facilitating the creation of birth certificates and Aadhaar cards for children | 0.7703
,,,,,,15482 | To solve the problem of Aadhar card not being made | 0.7043
,,,,,,28558 | To correct the mistake in Krish Kumar's Aadhar card and ensure he can attend school | 0.6957
,,,,,,28667 | To increase enrollment by helping people obtain Aadhaar cards | 0.7178
,,,,,,"41555 | To improve access to education for children by facilitating the creation of birth certificates and Aadhar cards, thereby addressing the issue of lack of identification documents hindering enrollment. | 0.8021"
,,,,,,"41557 | To make essential services like Aadhar cards, birth certificates, and information about government schemes more accessible to marginalized communities, such as Dalit and Mahadalit settlements | 0.5515"
,,,,,,"40562 | To facilitate the creation of Aadhaar cards for 20-30 Mahadalit children, enabling them to receive educational benefits | 0.7737"
,,,,,,40567 | To help Dilkhush Kumar get an Aadhar card | 0.5879
,,,,,,"40569 | To help Anushka Kumari, who did not have an Aadhaar card, by convincing her father to get it made | 0.5571"
,,,,,,40570 | To enroll Anushka Kumari in school despite lack of Aadhar card | 0.709
,,,,,,40590 | To enroll children in school by obtaining Aadhaar cards for their parents | 0.8518
,,,,,,40593 | To help children get enrolled in 9th standard by obtaining Aadhaar cards | 0.7496
,,,,,,"41602 | To solve the problem of lack of Aadhaar card and birth certificate, which was preventing the girls from getting admission in school. | 0.7793"
,,,,,,41604 | To increase school enrollment by encouraging parents to obtain Aadhaar cards for their children | 0.844
,,,,,,40596 | To enroll Chanda Kumari in school by obtaining her Aadhaar card and motivating her parents | 0.6722
,,,,,,"41610 | To enroll children in school by obtaining Aadhar cards for them, addressing the issue of lack of admission due to missing Aadhar cards | 0.9042"
,,,,,,40599 | To improve education in rural Bihar by organizing education chaupals and encouraging parents to send their children to school | 0.5697
,,,,,,40601 | To help Arvind Kumar get enrolled in school by making his mother aware that admission in government school is free | 0.5785
,,,,,,41614 | To facilitate school enrollment by obtaining Aadhar cards for children | 0.8964
,,,,,,41617 | To correct date of birth errors and facilitate Aadhar card issuance for children in the community | 0.6936
,,,,,,"40605 | To increase awareness about education and encourage children to attend school in Sitamarhi, Bihar | 0.6045"
,,,,,,41618 | To help children receive ration at the Aagin Vani Kendra by obtaining their Aadhaar cards and mobile numbers | 0.6747
,,,,,,40611 | To improve education in Bihar by making Aadhar cards for children | 0.8278
,,,,,,41626 | To help Kiran Kumari get admission to school by making her Aadhar card and resolving the issues related to her admission | 0.686
,,,,,,41628 | To help Poonam Kumari get admitted to school by correcting errors in her Aadhar card | 0.6476
,,,,,,41631 | To help Seema Kumari get admission in school by making her Aadhar card | 0.6919
,,,,,,40619 | To help children get admitted to school by obtaining necessary documents like Aadhar cards and birth certificates | 0.8135
,,,,,,41635 | To improve access to education by facilitating the creation of birth certificates and Aadhar cards for children | 0.8084
,,,,,,"40622 | To ensure children can attend school by obtaining Aadhar cards, addressing the issue of lack of admission due to missing Aadhar cards | 0.8992"
,,,,,,41660 | To ensure children receive their rights by obtaining an Aadhar card | 0.7849
,,,,,,41662 | To enroll children in school by facilitating Aadhar card creation for their parents | 0.8726
,,,,,,"41663 | To ensure that all children can enroll in school without any obstacles, by providing them with the necessary documents like Aadhaar cards. | 0.804"
,,,,,,41670 | To enroll Anshika in school by obtaining an Aadhar card | 0.6903
,,,,,,41672 | To generate Aadhaar cards for children by correcting their date of birth | 0.6698
,,,,,,41679 | To help Manav Kumari get an Aadhaar card and nomination | 0.5597
,,,,,,40667 | To help Neha Kumari get her birth certificate and Aadhar card made so she can enroll in school | 0.6254
,,,,,,"41684 | To help children in Shankarpur village get Aadhar cards and enroll in school, addressing the issue of lack of identification and access to education | 0.8188"
,,,,,,40691 | To enroll children in school by obtaining Aadhar cards through community efforts | 0.9211
,,,,,,40692 | To enroll children in school who were unable to do so due to lack of Aadhaar cards | 0.891
,,,,,,"40697 | To facilitate the creation of Aadhar cards and birth certificates for underprivileged children, enabling them to access essential government services and education | 0.7841"
,,,,,,40701 | To improve education in Bariyarpur Majhi Tola by providing Aadhar cards and residential addresses to children and enrolling them in school | 0.713
,,,,,,40721 | To correct the Aadhaar card of Puja Kumari to enable her enrollment | 0.628
,,,,,,40722 | To enroll a child in school by creating awareness about the importance of education among parents and obtaining necessary documents such as date of birth and Aadhar card | 0.7978
,,,,,,40723 | To improve education in rural Bihar by enrolling all children in school and ensuring they attend regularly | 0.6061
,,,,,,40726 | To improve education in Musahari Tola by creating awareness about the importance of Aadhaar cards and providing remedial classes for children | 0.6478
,,,,,,40728 | To re-enroll Aradhana in school and ensure she continues her education | 0.5561
,,,,,,40731 | To enroll children in school by registering them for Aadhaar cards and addressing the issue of non-enrollment due to lack of necessary documents | 0.8604
,,,,,,40802 | To enroll children in school by obtaining necessary documents such as birth certificates and Aadhar cards | 0.8352
,,,,,,40777 | To help Puja Kumari get enrolled in school by correcting her Aadhaar card | 0.7123
,,,,,,40830 | To provide Aadhaar cards for children to enroll in school | 0.8493
,,,,,,"40783 | To correct errors in Aadhaar cards and enroll children in school, ensuring they receive necessary facilities and benefits | 0.8182"
,,,,,,"40786 | To increase school enrolment by assisting parents in obtaining Aadhaar cards for their children, thus addressing the issue of incomplete documents | 0.8237"
,,,,,,40787 | To enroll children in school by correcting their Aadhar cards | 0.869
,,,,,,40850 | To enroll Dilkhus in school by making Aadhaar and overcoming the lack of base | 0.627
,,,,,,40858 | To enroll children in school who were not previously enrolled due to lack of information | 0.5637
,,,,,,40870 | To resolve the issue of children not having Aadhaar cards and facilitate their admission to government schools | 0.897
,,,,,,40872 | To facilitate the enrollment of children in school by obtaining Aadhaar cards for those without them | 0.8501
,,,,,,40874 | To correct the date of birth in the Aadhaar card and enroll children in government schools | 0.7338
,,,,,,40877 | To get an Aadhar card made and enroll in school | 0.8116
,,,,,,28619 | To improve education in rural Bihar by raising awareness about its importance and encouraging children to study further | 0.5562
,,,,,,40883 | To improve education by enrolling students with Aadhaar cards | 0.8145
,,,,,,40887 | To enroll 22 children in school who did not have Aadhaar cards and were not enrolled in school due to various reasons | 0.8763
,,,,,,40888 | To get Sandhya Kumari enrolled in school by helping her parents make her Aadhar card | 0.6422
,,,,,,40968 | To help children get enrolled in school by making their Aadhar cards | 0.8858
,,,,,,40974 | To ensure every student has an Aadhaar card for educational benefits | 0.792
,,,,,,40986 | To help Suman Kumari get her Aadhar card made and enroll her in school | 0.6532
,,,,,,"40992 | To enroll children in school by obtaining Aadhar cards for them, addressing the issue of parents being less educated and busy with labor work | 0.8671"
,,,,,,40995 | To help Shivani Kumari get enrolled in school by obtaining her birth certificate and Aadhaar card | 0.6285
,,,,,,40996 | To ensure all children have Aadhar cards for school enrollment | 0.8823
,,,,,,40997 | To enroll four children in Primary School Pandey Prasav by making their Aadhar cards | 0.8055
,,,,,,41000 | To help Khushbu Kumari get her Aadhar card corrected | 0.5627
,,,,,,41004 | To enroll Sonali Kumari in school by obtaining her birth certificate and Aadhar card | 0.6001
,,,,,,41011 | To solve the problem of delay in enrollment due to lack of Aadhar card | 0.7324
,,,,,,41017 | To ensure Nasir's school enrollment by correcting his Aadhaar card | 0.7248
,,,,,,41022 | To improve education by enrolling children in school through Aadhaar card registration | 0.854
,,,,,,"41024 | To facilitate the creation of Aadhaar cards for children in Majhauliya Panchayat, ensuring they receive benefits and access to education | 0.7514"
,,,,,,41026 | To ensure all children in Dubaha village have Aadhaar cards to access education and government benefits | 0.7552
,,,,,,"28574 | To facilitate the registration of Aadhaar cards for children in the community, addressing the issue of many children lacking this essential document | 0.7591"
,,,,,,"41033 | To help Rani get her Aadhar card and enroll in school, ensuring she has access to education and a better future | 0.6215"
,,,,,,41036 | To improve education by facilitating Aadhar card enrollment for students | 0.8113
,,,,,,41040 | To create awareness about the importance of Aadhar Card and Birth Certificate in the community | 0.6723
,,,,,,41053 | To help a child get an Aadhar card and enroll in school | 0.8515
,,,,,,"41057 | To improve education by facilitating the creation of birth certificates and Aadhaar cards for underprivileged children, enabling their enrollment in schools. | 0.7742"
,,,,,,41067 | To enroll Supriya Kumari in school by correcting errors in her Aadhaar card | 0.6606
,,,,,,"41073 | To improve school attendance among teenage girls in Andapur, Bihar by addressing the challenges they face | 0.6052"
,,,,,,41075 | To ensure children receive government scheme benefits by correcting errors in their Aadhaar cards | 0.7047
,,,,,,41086 | To solve the problem of Aadhar card enrollment for school students | 0.8384
,,,,,,41087 | To enroll in school by obtaining an Aadhar card through block and district level efforts | 0.8339
,,,,,,41092 | To solve the problem of admission being denied in 6 colleges due to lack of Aadhaar card | 0.7942
,,,,,,28471 | To enroll Soni Kumari in school despite the loss of her Aadhar card | 0.6997
,,,,,,"41125 | To improve education by obtaining birth certificates and Aadhar cards for children, enabling them to enroll in higher secondary school | 0.8322"
,,,,,,"41129 | To improve education by ensuring children have birth certificates and Aadhar cards, enabling them to enroll in school | 0.8603"
,,,,,,41133 | To improve education in Bihar by helping a girl get admission in class 9 despite a wrong date of birth in her Aadhar card | 0.6858
,,,,,,41134 | To improve education in rural Bihar by increasing awareness and enrollment among children and adults | 0.5778
,,,,,,41161 | To help children without birth certificates or Aadhaar cards enroll in school by assisting them in obtaining these essential documents | 0.7802
,,,,,,41174 | To create Aadhaar cards for children in Mohaniya village to enable their enrollment in school | 0.8213
,,,,,,"41180 | To improve access to government schemes for children in Kaimur, Bihar, by obtaining Aadhaar cards and birth certificates | 0.7053"
,,,,,,41186 | To get Soni Kumari enrolled in school by obtaining her Aadhar card | 0.6765
,,,,,,41187 | To improve education in rural Bihar by addressing the issue of non-enrolment due to lack of Aadhaar cards | 0.8036
,,,,,,"41211 | To ensure children in Deoria village have Aadhaar cards, enabling them to enroll in school | 0.8206"
,,,,,,41216 | To help children in the village of Dehliya get admission in school by obtaining Aadhaar cards | 0.797
,,,,,,41218 | To help children enroll in school by correcting their Aadhar cards | 0.8638
,,,,,,41220 | To help a girl get admitted to school by assisting with her Aadhar card issue | 0.7757
,,,,,,41221 | To enroll Ayush Kumar in school by getting his Aadhar card made | 0.6842
,,,,,,41222 | To help Munni Kumari get admitted to school by correcting her Aadhar card | 0.682
,,,,,,41226 | To enroll Srishti Rani in school by obtaining her Aadhaar card | 0.6488
,,,,,,41231 | To organize a camp for Aadhar card creation and facilitate school admissions for underprivileged children | 0.8154
,,,,,,41236 | To create Aadhar cards for children to enroll them in school and increase the number of children attending school | 0.8747
,,,,,,41239 | To enroll Satvik Kumari in school by creating awareness about Aadhaar and its importance | 0.6197
,,,,,,"41240 | To solve the problem of children not having Aadhaar cards, which was hindering their school enrollment | 0.8905"
,,,,,,41243 | To help students enroll in school despite errors in their date of birth on Aadhar cards | 0.7692
,,,,,,41265 | To enroll Sonali Kumari in school by correcting her Aadhaar | 0.6355
,,,,,,41278 | To address the issue of parents not being aware of the importance of birth certificates and Aadhaar cards for their children | 0.7252
,,,,,,"41282 | To spread awareness about the importance of birth certificates and Aadhaar cards in the community, ensuring timely enrollment of children in schools | 0.8142"
,,,,,,"40523 | To increase school attendance and enrollment in Satiyad Village, Daranagar Panchayat, Nohta Block, Rohtas District | 0.5963"
,,,,,,40529 | To get Khushi Kumari an Aadhar card | 0.5842
,,,,,,41291 | To correct Aadhar card details for better access to government schemes and education | 0.684
,,,,,,41292 | To solve the problem of dropping out of school after eighth grade due to issues with Aadhar cards | 0.8082
,,,,,,40535 | To help Sonu Kumar get enrolled in a government school by obtaining his birth certificate and Aadhaar card | 0.6724
,,,,,,40539 | To ensure Ankit Kumar's education is not disrupted due to lack of Aadhar card | 0.7876
,,,,,,40548 | To increase enrollment of Mahadalit children in schools by raising awareness among parents and providing support for admission | 0.5655
,,,,,,"41309 | To help Chandni Kumari get an Aadhaar card and enroll in school, ensuring she can access government benefits and education | 0.6425"
,,,,,,41319 | To ensure children can attend school by correcting errors in their Aadhaar cards | 0.8166
,,,,,,41327 | To improve education in Katra Kalaa by addressing the issue of lack of Aadhaar cards for children | 0.7766
,,,,,,41340 | To improve school admission by addressing the issue of lack of Aadhar Card | 0.8647
,,,,,,"41341 | To help students who were expelled from school due to lack of Aadhar card registration, by guiding them through the registration process and providing necessary support. | 0.6877"
,,,,,,"41352 | To enroll children in school by obtaining Aadhar cards for their parents, addressing the issue of lack of education due to poverty and misunderstanding of its importance | 0.892"
,,,,,,41357 | To increase school enrollment by resolving Aadhar card issues | 0.8616
,,,,,,41358 | To increase school enrollment by facilitating Aadhar card creation for children | 0.8904
,,,,,,41359 | To resolve the issue of children not being able to enroll in school due to lack of Aadhar Card | 0.9186
,,,,,,"41375 | To improve education in Mahidpur Daas Tolla, Bihar, by encouraging children to attend school daily and helping parents create date of birth records for their children. | 0.6001"
,,,,,,41378 | To enroll Priyanshu Kumari in school by obtaining her Aadhar card | 0.6322
,,,,,,41386 | To correct the age in Aadhar card for education purposes | 0.6998
,,,,,,41432 | To enroll children in school by obtaining Aadhaar cards and understanding the importance of education | 0.8475
,,,,,,41435 | To get Chandan Kumar enrolled in school by making his Aadhar card | 0.6615
,,,,,,41436 | To enroll Kush Kumar in school despite lack of Aadhar card | 0.6891
,,,,,,41437 | To get Rimjhim Kumari an Aadhaar card and enrolled in school | 0.7293
,,,,,,"41441 | To help parents obtain Aadhar cards and birth certificates for their children, enabling them to enroll in school and access ration | 0.8246"
,,,,,,41442 | To help Pushpa Kumari get enrolled in class 9th by obtaining her Aadhaar card | 0.6428
,,,,,,41454 | To ensure children can get enrolled in school by correcting errors in their Aadhaar cards | 0.8227
,,,,,,41459 | To enroll children in school who were unable to do so due to lack of Aadhaar | 0.8394
,,,,,,41461 | To solve the problem of Poonam Kumari not having an Aadhar card and not being able to attend school | 0.7406
,,,,,,41462 | To correct the date of birth in Aadhar cards of children to enable their admission in school | 0.7776
,,,,,,41465 | To enroll children in government schools by obtaining Aadhar cards | 0.8773
,,,,,,"41470 | To enroll children in school by obtaining Aadhar cards, ensuring access to government schemes and benefits | 0.8731"
,,,,,,41487 | To enroll children in school by obtaining birth certificates and Aadhar cards | 0.8628
,,,,,,"41509 | To help children in the village get their Aadhar cards made, which was necessary for their school admission | 0.8571"
,,,,,,"41510 | To enroll children in school by creating Aadhaar cards for them, addressing the issue of non-enrollment due to lack of Aadhaar cards | 0.8758"
,,,,,,"41511 | To facilitate the creation of Aadhar cards and birth certificates for children in rural areas, enabling them to access education and government benefits | 0.8078"
,,,,,,"41512 | To generate Aadhar cards for school children who lacked them due to missing date of birth information, thereby enabling their school enrollment. | 0.7924"
,,,,,,41516 | To improve education in Nawada village by motivating parents to enroll their children in school | 0.5661
,,,,,,"41517 | To assist parents in obtaining Aadhar cards and birth certificates for their children, enabling them to enroll in schools and receive rations. | 0.7046"
,,,,,,41519 | To arrange birth certificates and Aadhar cards for children in the community | 0.738
,,,,,,41520 | To create Aadhar cards for village residents who lacked birth certificates | 0.6849
,,,,,,41521 | To make an Aadhar card for a girl who was unable to go to school due to lack of Aadhar card | 0.7941
,,,,,,"41534 | To improve school enrollment by correcting Aadhaar cards for children in Maha Dalit Tola, addressing the issue of lack of awareness and ensuring access to education | 0.8233"
,,,,,,41536 | To get Manvi Kumari enrolled in school by correcting her Aadhaar card | 0.6708
,,,,,,41537 | To ensure ration distribution to children at the Agniwadi centre by linking Aadhaar and mobile numbers of parents | 0.5756
,,,,,,41541 | To increase school enrolment by assisting parents in obtaining Aadhaar cards for their children | 0.8097
,,,,,,41546 | To create Aadhaar cards for children and enroll them in school | 0.8273
,,,,,,48900 | To enroll children in school who were deprived of education due to lack of Aadhaar and birth certificate | 0.8283
,,,,,,"48904 | To ensure Ruby Devi's children receive an education by obtaining necessary documents, specifically Aadhaar cards, and enrolling them in school. | 0.6714"
,,,,,,48891 | To help children get Aadhar cards so they can attend school | 0.8596
,,,,,,"48930 | To improve student enrollment by facilitating Aadhaar card registration, ensuring children can access their rights and be identified. | 0.7751"
,,,,,,48942 | To improve school attendance by facilitating Aadhar registration for school kids | 0.8398
,,,,,,48947 | To help Anita Kumari get admission in school despite mistakes in her Aadhar card | 0.6967
,,,,,,48970 | To help a child get an Aadhar card and enroll in school | 0.8515
,,,,,,"48980 | To ensure Rani Kumari gets enrolled in school by obtaining an Aadhar card, which was the primary hindrance to her education | 0.7185"
,,,,,,48983 | To resolve Aadhar card errors and increase school enrollment | 0.8125
,,,,,,48997 | To empower the community by providing access to education and essential documents like Aadhaar cards | 0.6601
,,,,,,"48999 | To enroll children in school by obtaining Aadhar cards for those who lacked them, addressing the issue of poverty and lack of awareness | 0.8986"
,,,,,,49006 | To help children in Sangapur village get admission in school by obtaining Aadhar cards and birth certificates | 0.7674
,,,,,,49012 | To help a child get an Aadhar card and enroll in school by providing necessary documentation and support | 0.8372
,,,,,,49015 | To help children get enrolled in school by obtaining birth certificates and Aadhar cards | 0.8617
,,,,,,"49016 | To facilitate school enrollment by obtaining Aadhar cards for children, addressing the issue of lack of identification and access to education | 0.8946"
,,,,,,49022 | To help children without birth certificates or Aadhar cards gain access to education by assisting their parents in obtaining these documents and enrolling them in school. | 0.7885
,,,,,,49042 | To correct Aadhar cards of children and enroll them in Anganwadi | 0.7505
,,,,,,"49060 | To spread awareness about the importance of education among the community members in Fatehpur village, Sheohar district, Bihar, and encourage them to enroll their children in school | 0.5742"
,,,,,,16219 | To improve education in rural Bihar by encouraging children to attend school | 0.6272
,,,,,,3933 | To address the lack of information in education by enrolling children in school and providing Aadhaar cards | 0.8674
,,,,,,6471 | To improve education by creating awareness among women about its importance and making Aadhar cards for children | 0.7264
,,,,,,28709 | To raise awareness about the importance of Aadhaar cards for children and to encourage parents to register their children | 0.7315
,,,,,,"4272 | To improve education in Bakhari, Sitamarhi, Bihar by increasing awareness among parents and children | 0.5527"
,,,,,,4284 | To enroll children in school and provide them with government facilities by obtaining Aadhaar cards | 0.8316
,,,,,,"16452 | To enroll girls in school who were not attending due to lack of Aadhaar cards, by educating parents on the importance of education and providing support for Aadhaar card creation. | 0.8043"
,,,,,,"4294 | To improve access to birth certificates and Aadhar cards for children in Musahar Colony, enabling them to receive benefits and services | 0.6401"
,,,,,,5077 | To improve education in Ningri Panchayat by convincing parents to send their children to school | 0.572
,,,,,,28959 | To help Shivani Kumari get her Aadhar card made so she can be enrolled in school | 0.6565
,,,,,,29136 | Aadhar card banane ke liye jaankaari dena | 0.5516
,,,,,,5929 | To improve education in rural Bihar by addressing the issue of child marriage and encouraging children to attend school | 0.6059
,,,,,,6115 | To ensure all children can enroll in school by obtaining Aadhaar cards with the help of ward number 8 | 0.8095
,,,,,,28758 | To empower girls through education by addressing the issue of lack of date of birth and Aadhaar card | 0.6988
,,,,,,"7374 | To support and empower education in the community by addressing the issue of children not attending school due to work and ensuring they receive the necessary documentation, such as Aadhaar cards, to enroll in school. | 0.7316"
,,,,,,"28766 | To empower children by obtaining Aadhaar cards for them, thereby providing them with a legal identity and access to various benefits and services | 0.6914"
,,,,,,28967 | To help Rakhi Kumari get admission in class 9th despite discrepancy in her Aadhaar card | 0.6549
,,,,,,16589 | To help Riya Kumari get an Aadhar card and enroll in school | 0.6372
,,,,,,29442 | To help parents get their daughter's name corrected in the Aadhaar card so that she can be enrolled in school. | 0.6646
,,,,,,"16595 | To improve education by ensuring all girls have an Aadhar card, which is necessary for school admission | 0.8044"
,,,,,,10087 | To improve education by enrolling children in school through Aadhar card registration | 0.8881
,,,,,,15041 | To get an Aadhar card for the child | 0.7567
,,,,,,18236 | To address the issue of wrong date of birth in Aadhar cards affecting children's access to higher education | 0.7524
,,,,,,15036 | To ensure girls' education is not disrupted due to lack of Aadhaar card | 0.8533
,,,,,,29142 | To help a student get his school money by correcting his Aadhar card | 0.722
